n,k,dp-linear,dp-monotone,dp-linear-hirsch,dp-monotone-hirsch,lloyd_report,wilber
12500000,50,115191,125983,325439,342212,353,51156
13000000,10,22516,24463,49475,56854,303,36819
13000000,20,49336,52429,117617,130922,298,35543
13000000,30,72531,78116,194629,205653,313,36541
13000000,40,97165,104613,261443,278263,331,47555
13000000,50,126681,130323,329950,359560,407,49395
13500000,10,24239,25674,52321,59807,363,40779
13500000,20,48712,52743,127379,136946,356,40687
13500000,30,74262,81818,195746,215442,355,40720
13500000,40,103984,109185,263096,292961,367,42308
13500000,50,124635,136132,345203,372270,452,49767
14000000,10,23826,27364,54390,61561,307,37795
14000000,20,53928,55543,134410,142596,337,36446
14000000,30,76416,83393,201395,221343,332,40836
14000000,40,109098,111611,288999,304315,345,45223
14000000,50,131316,138805,358548,387779,403,49585
14500000,10,26548,28113,59411,63348,338,35490
14500000,20,53966,56553,133997,145771,363,35786
14500000,30,82006,86568,219306,229952,368,45433
14500000,40,109264,115819,296113,317045,422,39261
14500000,50,135687,145353,378623,392738,370,55761
15000000,10,26133,28506,59686,64693,348,34330
15000000,20,56894,59815,130960,149093,384,51598
15000000,30,81250,89243,222803,235503,355,38137
15000000,40,114591,121469,305002,320918,420,54840
15000000,50,138167,149686,383943,412470,407,41751
15500000,10,26893,29821,63382,68333,361,36741
15500000,20,60899,62969,146085,161469,374,39508
15500000,30,88643,93476,219748,249603,486,36829
15500000,40,121576,126480,323715,342225,430,57062
15500000,50,149228,154575,404062,431902,486,42370
16000000,10,28096,30131,63363,70154,558,39601
16000000,20,67448,64186,156364,162012,409,41181
16000000,30,89625,97826,242652,253393,507,57873
16000000,40,121999,127718,321741,348271,474,59119
16000000,50,146350,160812,406716,440244,465,47083
16500000,10,29450,31588,63981,73048,438,41154
16500000,20,60583,66226,151665,168875,420,39853
16500000,30,89831,98908,240014,265162,426,40239
16500000,40,123853,132931,323905,357319,439,59563
16500000,50,152521,164638,429611,454986,441,59357
17000000,10,27817,33022,68796,76880,418,40468
17000000,20,65536,68023,158990,175816,373,41695
17000000,30,96432,104776,254976,272943,609,40621
17000000,40,134928,135144,347602,377011,581,62903
17000000,50,163283,173488,447342,482363,523,71007
17500000,10,30776,33779,66822,78324,402,44152
17500000,20,65545,71158,164988,179929,428,44432
17500000,30,99576,105366,257092,282367,467,49103
17500000,40,134530,142805,360579,387111,446,67518
17500000,50,167419,177438,438984,487843,530,73777
18000000,10,32066,34594,69800,80661,417,46210
18000000,20,66372,74008,176186,186192,469,50163
18000000,30,107722,110381,278335,298086,471,50149
18000000,40,140788,151391,377698,402611,483,69021
18000000,50,172624,181615,461768,506813,538,71613
18500000,10,31645,36521,74901,83740,470,44585
18500000,20,70696,73980,171020,192188,433,46671
18500000,30,102524,113057,273165,301452,462,71438
18500000,40,141399,152564,380760,410489,502,61680
18500000,50,173950,189119,481134,515721,571,63565
19000000,10,32314,36970,76583,86497,647,47913
19000000,20,72420,76370,171079,198706,457,69504
19000000,30,105480,116895,272838,310126,471,73585
19000000,40,145605,155592,385083,420524,535,64548
19000000,50,178490,195786,500101,534560,585,60199
19500000,10,34094,39200,81350,89304,498,49226
19500000,20,76560,82166,187599,202854,535,54324
19500000,30,113840,120444,296033,320034,495,80504
19500000,40,144145,158255,401413,434174,510,63420
19500000,50,179971,197037,508824,551479,561,61551
20000000,10,34471,39624,84080,91016,518,49041
20000000,20,82947,81884,190342,207066,523,70046
20000000,30,112065,122088,288689,324911,547,78572
20000000,40,152641,162543,402794,443504,611,66642
20000000,50,191423,206929,526150,571551,537,82576
20500000,10,37839,41024,83699,94432,503,52524
20500000,20,76183,83351,192756,211624,534,76712
20500000,30,117608,125570,308862,334105,503,79733
20500000,40,161566,171700,426898,456790,556,74064
20500000,50,199550,210970,535644,578748,627,86284
21000000,10,36802,41291,81392,94315,523,55969
21000000,20,77990,86291,190468,218202,550,55105
21000000,30,121950,131015,308564,342207,563,79930
21000000,40,160798,173294,424425,469704,580,69610
21000000,50,194709,213975,541053,588135,554,77865
21500000,10,42863,41616,92677,97304,526,53130
21500000,20,78963,87034,201754,221867,543,72531
21500000,30,117714,131501,312758,347546,612,79166
21500000,40,160321,175449,435312,473572,596,73398
21500000,50,203669,219214,540888,603128,617,77785
22000000,10,38282,42961,88479,100197,575,53024
22000000,20,91852,89799,210057,228578,531,59363
22000000,30,121074,135143,322150,359218,563,87210
22000000,40,164532,179532,448144,490118,582,74432
22000000,50,207442,225540,564467,625649,647,77951
22500000,10,38260,43915,89325,102693,548,60730
22500000,20,84849,92659,209476,235445,525,79692
22500000,30,129894,139276,331402,369538,607,92611
22500000,40,169808,185920,467959,505417,604,79226
22500000,50,221706,233943,571459,632739,656,82693
23000000,10,40932,44732,95029,104769,556,59759
23000000,20,87375,93307,209381,236916,650,62415
23000000,30,139395,143636,375150,374196,593,78947
23000000,40,174097,188580,483120,521708,632,80524
23000000,50,223007,245828,617723,673549,648,74281
23500000,10,55095,48310,109739,112864,683,60483
23500000,20,90048,96355,224433,250071,548,60579
23500000,30,160013,150497,379137,396301,656,80279
23500000,40,188450,197973,512288,530652,621,80686
23500000,50,287372,245815,677011,682409,619,77682
24000000,10,48998,46678,105543,110795,606,60268
24000000,20,91194,101046,219834,255787,583,88559
24000000,30,139923,151777,362304,402810,696,97468
24000000,40,192250,210829,499848,554116,778,101818
24000000,50,234152,252341,640704,688849,693,102756
24500000,10,55096,48847,105589,118524,551,70793
24500000,20,96054,101428,237029,257550,618,63587
24500000,30,150973,158385,381860,413394,667,99633
24500000,40,199225,208866,533833,561473,618,102149
24500000,50,239199,255055,667524,705866,743,92790
25000000,10,55847,52152,116493,119746,672,73683
25000000,20,101257,106641,238320,260564,634,93234
25000000,30,158183,158892,375378,415792,698,102167
25000000,40,218511,209031,551134,566253,673,92453
25000000,50,251503,256231,680601,726749,770,102974
25500000,10,60146,50945,115577,123040,702,67948
25500000,20,109348,105940,259863,270472,659,71975
25500000,30,152983,159054,402873,421176,735,88498
25500000,40,211886,216644,541049,584174,686,102692
25500000,50,245153,272582,692499,746809,661,113971
26000000,10,51503,51471,108807,117926,584,71529
26000000,20,108375,108208,244658,269901,616,97957
26000000,30,193381,166633,420458,432348,638,112761
26000000,40,221979,221314,539842,594926,792,103909
26000000,50,261788,266314,657861,740665,784,115380
26500000,10,50683,53078,118650,121563,611,70817
26500000,20,116969,109096,260350,277287,641,89301
26500000,30,172716,175658,407278,447145,706,126967
26500000,40,207323,226033,564285,595864,670,102331
26500000,50,270135,277773,704518,757433,789,124474
27000000,10,58756,59845,111939,126875,767,79110
27000000,20,108942,112153,260216,285845,717,73807
27000000,30,185314,168785,430350,449191,654,111183
27000000,40,224680,224425,562887,608919,719,110229
27000000,50,247905,278804,695657,769256,783,114787
27500000,10,55198,54562,111748,128422,698,73830
27500000,20,104558,114912,259433,289419,670,95498
27500000,30,177123,173274,435489,463341,717,109623
27500000,40,209746,229015,617969,625554,916,109183
27500000,50,315017,293289,796939,795587,1057,113082
28000000,10,54969,54761,118121,128438,849,73920
28000000,20,113907,114856,282511,293864,703,71003
28000000,30,155056,170526,412349,461143,712,107790
28000000,40,222507,230305,598529,623711,771,105335
28000000,50,273399,289350,732420,800147,737,107491
28500000,10,47460,54955,111972,128647,664,72212
28500000,20,101722,116210,272105,299399,815,74128
28500000,30,162163,176636,424745,466451,725,96434
28500000,40,232671,240247,592902,653122,659,113253
28500000,50,309389,300942,751198,822593,852,133105
29000000,10,59626,59251,131146,136634,747,76808
29000000,20,132363,121472,287446,313556,690,78138
29000000,30,181634,177965,430332,476354,681,110470
29000000,40,227136,239837,589662,652545,762,114509
29000000,50,281853,300180,770058,826025,813,125567
29500000,10,65719,58445,132034,138347,715,77518
29500000,20,135026,123869,296915,316208,706,105556
29500000,30,174132,184212,456166,481163,834,122817
29500000,40,251782,245606,606205,666195,810,123424
29500000,50,334614,312809,844209,847889,872,141356
30000000,10,55087,60414,135108,136699,961,82298
30000000,20,133413,125935,313964,314192,683,86020
30000000,30,197021,189477,502853,500596,852,123614
30000000,40,254086,248932,622992,673337,747,39041
30000000,50,313518,310576,791063,858752,930,136665
30500000,10,76462,61954,129890,152200,764,90697
30500000,20,124311,127975,296453,322406,661,116016
30500000,30,223638,189578,517185,501178,772,126885
30500000,40,265520,254237,673340,699425,884,39133
30500000,50,327074,331037,812061,890024,781,126067
31000000,10,64545,64204,152438,149556,821,87319
31000000,20,159484,133792,328660,337960,764,86647
31000000,30,199132,200189,503230,522292,878,132775
31000000,40,249412,258490,658412,702396,792,39431
31000000,50,354649,329600,848893,895515,888,127066
31500000,10,62870,62051,140867,148397,832,82232
31500000,20,133420,129927,315170,332555,775,83812
31500000,30,195861,195515,481197,518224,804,121352
31500000,40,243491,266454,643960,728332,805,43422
31500000,50,329101,331299,875382,921037,888,144199
